TP_TCP_DOWN TP_TCP_UP RTT LOSS_DOWN LOSS_UP JITTER_DOWN JITTER_UP
4661599.349913 16109671.896133 0.070504 0 0 0.000883 0.005417
3172124.856578 1286795.035618 0.080873 0 0 0.001222 0.003784
2546002.82282 18473647.887834 0.070729 0 0 0.000687 0.005445
2453546.801573 1848418.485022 0.079139 0 0 0.001534 0.004182
3178780.957115 18478681.661155 0.067901 0 0 0.000469 0.004604
2818074.260767 16126432.789694 0.068958 0 0 0.000921 0.00442
30801050.795624 4771603.458671 0.057859 0 0 0.000901 0.004886
2691084.774524 19579432.407656 0.070118 0 0 0.000565 0.003993
3660216.202336 1072632.928918 0.077287 2 0 0.000585 0.009539
2638989.013507 3651572.739974 0.079181 2 0 0.009858 0.00729
60654180.063622 33995246.459411 0.073713 0 0 0.001433 0.001863
36625812.781622 2955088.865172 0.067595 0 0 0.004839 0.007335
86982750.377808 33815160.112593 0.071434 0 0 0.007093 0.003967
31983558.024032 3101447.106061 0.063322 0 0 0.007498 0.006033
3369369.663408 16236605.404141 0.070862 0 0 0.000623 0.004092
31049179.768933 28898189.109068 0.040298 0 0 0.002326 0.00422
1912446.453466 10889322.411875 0.070971 2 0 0.000573 0.005348
1596527.30216 1909139.832441 0.082616 0 0 0.001689 0.003066
1343244.391495 15845233.34886 0.06967 2 0 0.000949 0.004808
14878951.78574 8827437.251798 0.043479 0 0 0.001384 0.012838
33376328.252498 831041.064915 0.061252 0 0 0.001128 0.005237
5501611.990389 15230091.13366 0.068368 0 0 0.000502 0.004302
13992978.489891 11539772.863344 0.04306 0 0 0.00177 0.005729
36108362.831774 9720655.445244 0.041295 0 0 0.001293 0.006052
91359205.046167 13886023.098955 0.07199 0 0 0.000892 0.008769
29015065.064989 2538839.773246 0.059115 0 0 0.010105 0.010689
9771651.358952 15897012.078167 0.069909 0 0 0.00123 0.005545
8193035.458155 2861686.256974 0.07495 0 0 0.004341 0.007829
21212054.919157 823037.837059 0.065038 0 0 0.000981 0.008216
3686973.108369 16127410.968653 0.070013 2 0 0.000942 0.00435
22456491.742287 7454331.794883 0.056278 0 0 0.001424 0.005896
